"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 13 21:00:31 CET 2022","Thu Jan 13 21:00:34 CET 2022","3410","All Pet Store Tests","Positive Login Tests","tests.PositiveLoginTests","tests.PositiveLoginTests","asUserLoginUsingValidLoginAndPassword","asUserLoginUsingValidLoginAndPassword","The goal of this test is to log in using proper username and password and check if Dog Banner is displayed after"
"passed","Thu Jan 13 21:00:17 CET 2022","Thu Jan 13 21:00:19 CET 2022","1783","All Pet Store Tests","Negative Login Tests","tests.FailedLoginTests","tests.FailedLoginTests","asUserTryToLogInWithIncorrectLoginAndPassword","asUserTryToLogInWithIncorrectLoginAndPassword","The goal of this test is to log in using not proper username and password and check if warning message Invalid username or password is displayed"
